id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
04-249,Guatemala,GUA,"90","2005","39160",Senahu,"2",Alta Verapaz,Senahu,NA,Senahu district,"0",NA,landslide,2005-0319,"15.42703726","-89.84066356"
04-253,Guatemala,GUA,"90","2011","39172",Santa Cruz Barillas,"2",Huehuetenango,Santa Cruz Barillas,NA, Barillas district,"0",NA,landslide,2011-0366,"15.94349054","-91.19202224"
04-254,Guatemala,GUA,"90","2015","39173",Santa Catarina Pinula,"2",Guatemala,Santa Catarina Pinula,NA,Santa Catarina Pinula district,"0",NA,landslide,2015-0444,"14.56485743","-90.45398061"
04-257,Guinea,GUI,"438","2015","39177",Boffa,"2",Boke,Boffa,NA,Kolon Kola area ,"0",NA,landslide,2015-0428,"10.37932372","-14.05654611"
04-272,India,IND,"750","1979","39193",Lahul & Spiti,"2",Himachal Pradesh,Lahul & Spiti,NA,Lahaul,"0",NA,landslide,1979-0030,"32.48336537","77.5992014"
04-272,India,IND,"750","1979","39194",Pangi,"3",Himachal Pradesh,Chamba,Pangi, Pangi,"0",NA,landslide,1979-0030,"33.01467143","76.51266898"
28-Apr,Angola,ANG,"540","2000","39206",Saurimo,"2",Lunda Sul,Saurimo,NA,Chassuala village ,"0",NA,landslide,2000-0657,"-9.47530707","20.69152295"
04-282,India,IND,"750","1992","39210",Aizawl,"2",Mizoram,Aizawl,NA,Aizawl ,"0",NA,landslide,1992-0332,"23.83655634","92.88807365"
04-286,India,IND,"750","1995","39215",Kullu,"2",Himachal Pradesh,Kullu,NA,Kulla ,"0",NA,landslide,1995-0202,"31.90784167","77.38444878"
04-288,India,IND,"750","1997","39219",Gangtok,"3",Sikkim,East Sikkim,Gangtok,Gangtok ,"0",NA,landslide,1997-0124,"27.29288574","88.67133148"
04-295,India,IND,"750","2000","39232",Bijnor,"2",Uttar Pradesh,Bijnor,NA, Bijnor districts ,"0",NA,landslide,2000-0358,"29.39281735","78.38678405"
04-295,India,IND,"750","2000","39233",Moradabad,"2",Uttar Pradesh,Moradabad,NA,Moradabad,"0",NA,landslide,2000-0358,"28.87817856","78.78173732"
04-296,India,IND,"750","2000","39234",Mumbai Suburban,"2",Maharashtra,Mumbai Suburban,NA,Ghatkopar village ,"0",NA,landslide,2000-0415,"19.14276434","72.88212639"
04-297,India,IND,"750","2000","39236",Naini Tal,"3",Uttarakhand,Nainital,Naini Tal, Naini Tal districts ,"0",NA,landslide,2000-0498,"29.39179674","79.54957776"
04-297,India,IND,"750","2000","39238",Pithoragarh,"2",Uttarakhand,Pithoragarh,NA,Pithoragarh,"0",NA,landslide,2000-0498,"30.11188993","80.33363291"
04-298,India,IND,"750","2001","39240",Rudraprayag,"2",Uttarakhand,Rudraprayag,NA,Rudra Prayag district ,"0",NA,landslide,2001-0414,"30.59482498","79.09849168"
04-299,India,IND,"750","2001","39242",Chamba,"2",Himachal Pradesh,Chamba,NA,Chamba district ,"0",NA,landslide,2001-0501,"32.67832209","76.33764139"
3-Apr,Afghanistan,AFG,"700","1993","39244",Salang,"2",Parwan,Salang,NA,Salang district ,"0",NA,landslide,1993-0419,"35.28788003","69.18748043"
04-300,India,IND,"750","2001","39247",Thiruvananthapuram,"2",Kerala,Thiruvananthapuram,NA,Thiruvananthapuram district,"0",NA,landslide,2001-0618,"8.606249061","77.00468825"
04-303,India,IND,"750","2005","39251",Kamrup,"2",Assam,Kamrup,NA,Guwahati city ,"0",NA,landslide,2005-0457,"26.10362335","91.42709144"
04-305,India,IND,"750","2009","39254",Pithoragarh,"2",Uttarakhand,Pithoragarh,NA,Pithoragarh district ,"0",NA,landslide,2009-0315,"30.11188993","80.33363291"
04-306,India,IND,"750","2009","39255",Mumbai Suburban,"2",Maharashtra,Mumbai Suburban,NA, Nagar slums ,"0",NA,landslide,2009-0383,"19.14276434","72.88212639"
04-308,India,IND,"750","2014","39259",Pune,"2",Maharashtra,Pune,NA,Pune district,"0",NA,landslide,2014-0270,"18.57054718","74.07657987"
04-309,India,IND,"750","2015","39260",Tinsukia,"2",Assam,Tinsukia,NA, Tinsukia,"0",NA,landslide,2015-0226,"27.58426781","95.62551853"
04-309,India,IND,"750","2015","39261",Lakhimpur,"2",Assam,Lakhimpur,NA, Lakhimpur,"0",NA,landslide,2015-0226,"27.1743511","94.13502058"
04-309,India,IND,"750","2015","39262",Kamrup,"2",Assam,Kamrup,NA, Kamrup,"0",NA,landslide,2015-0226,"26.10362335","91.42709144"
04-309,India,IND,"750","2015","39263",Barpeta,"2",Assam,Barpeta,NA,Barpeta,"0",NA,landslide,2015-0226,"26.33773804","91.00368935"
04-309,India,IND,"750","2015","39264",Bongaigaon,"2",Assam,Bongaigaon,NA, Bongaigaon districts ,"0",NA,landslide,2015-0226,"26.34628122","90.6135107"
04-309,India,IND,"750","2015","39265",Jorhat,"2",Assam,Jorhat,NA, Jorhat,"0",NA,landslide,2015-0226,"26.79524644","94.27414916"
04-309,India,IND,"750","2015","39266",Nalbari,"2",Assam,Nalbari,NA, Nalbari,"0",NA,landslide,2015-0226,"26.37544176","91.38392877"
04-309,India,IND,"750","2015","39268",Sonitpur,"2",Assam,Sonitpur,NA, Sonitpur,"0",NA,landslide,2015-0226,"26.78257766","92.92733398"
04-309,India,IND,"750","2015","39269",Goalpara,"2",Assam,Goalpara,NA, Goalpara,"0",NA,landslide,2015-0226,"26.04803491","90.60869689"
04-309,India,IND,"750","2015","39270",Dhemaji,"2",Assam,Dhemaji,NA, Dhemaji,"0",NA,landslide,2015-0226,"27.5903576","94.78022274"
04-309,India,IND,"750","2015","39271",Darrang,"2",Assam,Darrang,NA, Darrang,"0",NA,landslide,2015-0226,"26.44938205","92.0344264"
04-309,India,IND,"750","2015","39272",Nagaon,"2",Assam,Nagaon,NA, Nagaon,"0",NA,landslide,2015-0226,"26.22552824","92.84166137"
04-309,India,IND,"750","2015","39273",Dibrugarh,"2",Assam,Dibrugarh,NA, Dibrugarh,"0",NA,landslide,2015-0226,"27.3714173","95.05490893"
Apr-31,Argentina,ARG,"160","2009","39274",General Jose De San Martin,"2",Salta,General Jose De San Martin,NA,Tartagal town ,"0",NA,landslide,2009-0041,"-22.70928483","-63.65584406"
04-312,India,IND,"750","2017","39279",Ganderbal,"2",Jammu And Kashmir,Ganderbal,NA,Ganderbal district,"0",NA,landslide,2017-0046,"34.28777104","75.02968379"
04-313,India,IND,"750","2017","39281",Mandi,"2",Himachal Pradesh,Mandi,NA, Mandi district ,"0",NA,landslide,2017-0483,"31.6414522","76.97793445"
04-314,India,IND,"750","2017","39283",Papum Pare,"2",Arunachal Pradesh,Papum Pare,NA, Papumpare district ,"0",NA,landslide,2017-0266,"27.27460429","93.58822996"
Apr-32,Argentina,ARG,"160","2014","39290",Ambato,"2",Catamarca,Ambato,NA,Ambato district,"0",NA,landslide,2014-0021,"-28.00903318","-65.92000875"
04-322,Indonesia,INS,"850","1989","39294",Solok,"2",Sumatera Barat,Solok,NA,Solok,"0",NA,landslide,1989-0026,"-0.962395663","100.8186767"
04-324,Indonesia,INS,"850","1992","39296",Ciamis,"2",Jawa Barat,Ciamis,NA, Ciamis,"0",NA,landslide,1992-0148,"-7.434347269","108.4661383"
04-324,Indonesia,INS,"850","1992","39297",Tasikmalaya,"2",Jawa Barat,Tasikmalaya,NA,Tasikmalaya,"0",NA,landslide,1992-0148,"-7.496892102","108.1412794"
04-324,Indonesia,INS,"850","1992","39298",Garut,"2",Jawa Barat,Garut,NA, Garut districts ,"0",NA,landslide,1992-0148,"-7.359586322","107.7888626"
04-328,Indonesia,INS,"850","2000","39304",Brebes,"2",Jawa Tengah,Brebes,NA,Brebes district ,"0",NA,landslide,2000-0082,"-7.059324819","108.9275167"
04-329,Indonesia,INS,"850","2000","39306",Banggai,"2",Sulawesi Tengah,Banggai,NA,Banggai city ,"0",NA,landslide,2000-0469,"-1.021213866","122.5796774"
04-329,Indonesia,INS,"850","2000","39307",Banggai Kepulauan,"2",Sulawesi Tengah,Banggai Kepulauan,NA,Banggai Kepulauan district,"0",NA,landslide,2000-0469,"-1.465690191","123.2314589"
Apr-33,Argentina,ARG,"160","2017","39309",Tumbaya,"2",Jujuy,Tumbaya,NA, Tumbaya,"0",NA,landslide,2017-0031,"-23.76588143","-65.67251477"
Apr-33,Argentina,ARG,"160","2017","39310",Ledesma,"2",Jujuy,Ledesma,NA,Ledesma,"0",NA,landslide,2017-0031,"-23.78345236","-64.80364556"
Apr-33,Argentina,ARG,"160","2017","39311",Santa Barbara,"2",Jujuy,Santa Barbara,NA, Santa Barbara,"0",NA,landslide,2017-0031,"-24.00988325","-64.40581278"
Apr-33,Argentina,ARG,"160","2017","39313",Humahuaca,"2",Jujuy,Humahuaca,NA, Humahuaca,"0",NA,landslide,2017-0031,"-23.09232824","-65.38157781"
04-330,Indonesia,INS,"850","2000","39315",Cilacap,"2",Jawa Tengah,Cilacap,NA,Cilacap,"0",NA,landslide,2000-0701,"-7.490962716","108.8904127"
04-330,Indonesia,INS,"850","2000","39316",Banyumas,"2",Jawa Tengah,Banyumas,NA, Banyumas districts ,"0",NA,landslide,2000-0701,"-7.455145099","109.1755798"
04-331,Indonesia,INS,"850","2000","39318",Kebumen,"2",Jawa Tengah,Kebumen,NA, Kebumen districts ,"0",NA,landslide,2000-0721,"-7.655266531","109.6174096"
04-331,Indonesia,INS,"850","2000","39319",Purbalingga,"2",Jawa Tengah,Purbalingga,NA, Purbalingga,"0",NA,landslide,2000-0721,"-7.322916342","109.4073183"
04-331,Indonesia,INS,"850","2000","39320",Purworejo,"2",Jawa Tengah,Purworejo,NA,Purworejo,"0",NA,landslide,2000-0721,"-7.69958989","109.9660376"
04-332,Indonesia,INS,"850","2001","39323",Kepulauan Sangihe,"2",Sulawesi Utara,Kepulauan Sangihe,NA,Sangihe chains ,"0",NA,landslide,2001-0046,"3.550691598","125.5413485"
04-334,Indonesia,INS,"850","2001","39327",Kebumen,"2",Jawa Tengah,Kebumen,NA,Seling village ,"0",NA,landslide,2001-0651,"-7.655266531","109.6174096"
